Group,Code,Name,Year,Antigen,Antigen_description,Coverage_category,Coverage_category_description,Target_number,Dodge,Coverage
Countries,IND,India,2016,DTP3,Diphtheria-Tetanus-Pertussis 3rd Dose,OFFICIAL,Official WHO/UNICEF estimate,18527711.0,11784118,63.6
Countries,IND,India,2016,BCG,Bacillus Calmette-Guérin (Tuberculosis),OFFICIAL,Official WHO/UNICEF estimate,17484428.0,13837002,79.14
Countries,IND,India,2016,HEPB3,Hepatitis B 3rd Dose,OFFICIAL,Official WHO/UNICEF estimate,17194969.0,11536983,67.1
Countries,IND,India,2016,POL3,Polio 3rd Dose,OFFICIAL,Official WHO/UNICEF estimate,16663624.0,12981180,77.9
Countries,IND,India,2016,ROTA,Rotavirus Last Dose,OFFICIAL,Official WHO/UNICEF estimate,17627024.0,12012506,68.15
Countries,IND,India,2016,IPV1,Inactivated Polio 1st Dose,OFFICIAL,Official WHO/UNICEF estimate,17493620.0,11772582,67.3
Countries,IND,India,2016,HPV,Human Papillomavirus Last Dose,OFFICIAL,Official WHO/UNICEF estimate,17059796.0,10570164,61.96
Countries,IND,India,2017,MCV1,Measles 1st Dose,ADMINISTRATIVE,Administrative reports from health facilities,17495854.0,12161718,69.51
Countries,IND,India,2017,MCV2,Measles 2nd Dose,ADMINISTRATIVE,Administrative reports from health facilities,17397700.0,10408378,59.8%
Countries,IND,India,2017,DTP1,Diphtheria-Tetanus-Pertussis 1st Dose,ADMINISTRATIVE,Administrative reports from health facilities,17717232.0,13884543,78.37
Countries,IND,India,2017,DTP3,Diphtheria-Tetanus-Pertussis 3rd Dose,ADMINISTRATIVE,Administrative reports from health facilities,17222178.0,10494797,60.94
Countries,IND,India,2017,BCG,Bacillus Calmette-Guérin (Tuberculosis),ADMINISTRATIVE,Administrative reports from health facilities,17734213.0,12801779,72.19
Countries,IND,India,2017,HEPB3,Hepatitis B 3rd Dose,ADMINISTRATIVE,Administrative reports from health facilities,17771561.0,13866713,78.03
Countries,IND,India,2017,POL3,Polio 3rd Dose,ADMINISTRATIVE,Administrative reports from health facilities,17204469.0,12909233,75.0%
Countries,IND,India,2017,ROTA,Rotavirus Last Dose,ADMINISTRATIVE,Administrative reports from health facilities,17687536.0,12762152,72.15
Countries,IND,India,2017,IPV1,Inactivated Polio 1st Dose,ADMINISTRATIVE,Administrative reports from health facilities,17101254.0,10133444,59.26
Countries,IND,India,2017,HPV,Human Papillomavirus Last Dose,ADMINISTRATIVE,Administrative reports from health facilities,16969023.0,11592123,68.31
Countries,IND,India,2018,MCV1,Measles 1st Dose,OFFICIAL,Official WHO/UNICEF estimate,17130103.0,14122820,82.44
Countries,IND,India,2018,MCV2,Measles 2nd Dose,OFFICIAL,Official WHO/UNICEF estimate,17748630.0,10642916,59.96
Countries,IND,India,2018,DTP1,Diphtheria-Tetanus-Pertussis 1st Dose,OFFICIAL,Official WHO/UNICEF estimate,17472466.0,13566375,77.64
Countries,IND,India,2018,DTP3,Diphtheria-Tetanus-Pertussis 3rd Dose,OFFICIAL,Official WHO/UNICEF estimate,17194645.0,11855889,68.95
Countries,IND,India,2018,BCG,Bacillus Calmette-Guérin (Tuberculosis),OFFICIAL,Official WHO/UNICEF estimate,17789762.0,13674768,76.87
Countries,IND,India,2018,HEPB3,Hepatitis B 3rd Dose,OFFICIAL,Official WHO/UNICEF estimate,17395104.0,12591180,72.38
Countries,IND,India,2018,POL3,Polio 3rd Dose,OFFICIAL,Official WHO/UNICEF estimate,17874912.0,12393967,69.34
Countries,IND,India,2018,ROTA,Rotavirus Last Dose,OFFICIAL,Official WHO/UNICEF estimate,17698181.0,13193746,74.55
Countries,IND,India,2018,IPV1,Inactivated Polio 1st Dose,OFFICIAL,Official WHO/UNICEF estimate,17415479.0,11929344,68.5
Countries,IND,India,2018,HPV,Human Papillomavirus Last Dose,OFFICIAL,Official WHO/UNICEF estimate,17636272.0,11168494,63.33
Countries,IND,India,2019,MCV1,Measles 1st Dose,ADMINISTRATIVE,Administrative reports from health facilities,17695088.0,14176391,80.11
Countries,IND,India,2019,MCV2,Measles 2nd Dose,ADMINISTRATIVE,Administrative reports from health facilities,18026095.0,12093519,67.09
Countries,IND,India,2019,DTP1,Diphtheria-Tetanus-Pertussis 1st Dose,ADMINISTRATIVE,Administrative reports from health facilities,17767825.0,14706282,82.77
Countries,IND,India,2019,DTP3,Diphtheria-Tetanus-Pertussis 3rd Dose,ADMINISTRATIVE,Administrative reports from health facilities,17718568.0,11576352,65.33
Countries,IND,India,2019,BCG,Bacillus Calmette-Guérin (Tuberculosis),ADMINISTRATIVE,Administrative reports from health facilities,18442868.0,13894161,75.34
Countries,IND,India,2019,HEPB3,Hepatitis B 3rd Dose,ADMINISTRATIVE,Administrative reports from health facilities,18018975.0,13740078,76.25
Countries,IND,India,2019,POL3,Polio 3rd Dose,ADMINISTRATIVE,Administrative reports from health facilities,17468575.0,12604823,72.16
Countries,IND,India,2019,ROTA,Rotavirus Last Dose,ADMINISTRATIVE,Administrative reports from health facilities,17713056.0,13393358,75.61
Countries,IND,India,2019,IPV1,Inactivated Polio 1st Dose,ADMINISTRATIVE,Administrative reports from health facilities,17577269.0,12944825,73.65
Countries,IND,India,2019,HPV,Human Papillomavirus Last Dose,ADMINISTRATIVE,Administrative reports from health facilities,17595773.0,11447349,65.06
Countries,IND,India,2020,MCV1,Measles 1st Dose,OFFICIAL,Official WHO/UNICEF estimate,17999548.0,12752925,70.85
Countries,IND,India,2020,MCV2,Measles 2nd Dose,OFFICIAL,Official WHO/UNICEF estimate,17465248.0,9331979,53.43
Countries,IND,India,2020,DTP1,Diphtheria-Tetanus-Pertussis 1st Dose,OFFICIAL,Official WHO/UNICEF estimate,17854365.0,12495456,69.99
Countries,IND,India,2020,DTP3,Diphtheria-Tetanus-Pertussis 3rd Dose,OFFICIAL,Official WHO/UNICEF estimate,17871803.0,10991482,61.5
Countries,IND,India,2020,BCG,Bacillus Calmette-Guérin (Tuberculosis),OFFICIAL,Official WHO/UNICEF estimate,17829854.0,12915091,72.44
Countries,IND,India,2020,HEPB3,Hepatitis B 3rd Dose,OFFICIAL,Official WHO/UNICEF estimate,17654339.0,11939543,67.63
Countries,IND,India,2020,POL3,Polio 3rd Dose,OFFICIAL,Official WHO/UNICEF estimate,18054839.0,11937740,66.12
Countries,IND,India,2020,ROTA,Rotavirus Last Dose,OFFICIAL,Official WHO/UNICEF estimate,17928029.0,12062753,67.28
Countries,IND,India,2020,IPV1,Inactivated Polio 1st Dose,OFFICIAL,Official WHO/UNICEF estimate,18086218.0,12042850,66.59
Countries,IND,India,2020,HPV,Human Papillomavirus Last Dose,OFFICIAL,Official WHO/UNICEF estimate,17673855.0,11671131,66.04
Countries,IND,India,2021,MCV1,Measles 1st Dose,ADMINISTRATIVE,Administrative reports from health facilities,17823454.0,14430636,80.96
Countries,IND,India,2021,MCV2,Measles 2nd Dose,ADMINISTRATIVE,Administrative reports from health facilities,17915532.0,9292135,51.87
Countries,IND,India,2021,DTP1,Diphtheria-Tetanus-Pertussis 1st Dose,ADMINISTRATIVE,Administrative reports from health facilities,18698295.0,13929509,74.5
Countries,IND,India,2021,DTP3,Diphtheria-Tetanus-Pertussis 3rd Dose,ADMINISTRATIVE,Administrative reports from health facilities,18247181.0,10246804,56.16
Countries,IND,India,2021,BCG,Bacillus Calmette-Guérin (Tuberculosis),ADMINISTRATIVE,Administrative reports from health facilities,18683723.0,12831828,68.68
Countries,IND,India,2021,HEPB3,Hepatitis B 3rd Dose,ADMINISTRATIVE,Administrative reports from health facilities,17933971.0,12809884,71.43
Countries,IND,India,2021,POL3,Polio 3rd Dose,ADMINISTRATIVE,Administrative reports from health facilities,18528083.0,11358461,61.3
Countries,IND,India,2021,ROTA,Rotavirus Last Dose,ADMINISTRATIVE,Administrative reports from health facilities,18490261.0,12369820,66.9
Countries,IND,India,2021,IPV1,Inactivated Polio 1st Dose,ADMINISTRATIVE,Administrative reports from health facilities,18102181.0,12186090,67.32
Countries,IND,India,2021,HPV,Human Papillomavirus Last Dose,ADMINISTRATIVE,Administrative reports from health facilities,18289850.0,10557774,57.72
Countries,IND,India,2022,MCV1,Measles 1st Dose,OFFICIAL,Official WHO/UNICEF estimate,18417465.0,14922020,81.02
Countries,IND,India,2022,MCV2,Measles 2nd Dose,OFFICIAL,Official WHO/UNICEF estimate,18666196.0,11429423,61.23
Countries,IND,India,2022,DTP1,Diphtheria-Tetanus-Pertussis 1st Dose,OFFICIAL,Official WHO/UNICEF estimate,18287512.0,15732569,86.03
Countries,IND,India,2022,DTP3,Diphtheria-Tetanus-Pertussis 3rd Dose,OFFICIAL,Official WHO/UNICEF estimate,18821862.0,13892909,73.81
Countries,IND,India,2022,BCG,Bacillus Calmette-Guérin (Tuberculosis),OFFICIAL,Official WHO/UNICEF estimate,18695838.0,15491149,82.86
Countries,IND,India,2022,HEPB3,Hepatitis B 3rd Dose,OFFICIAL,Official WHO/UNICEF estimate,17676660.0,13841617,78.3
Countries,IND,India,2022,POL3,Polio 3rd Dose,OFFICIAL,Official WHO/UNICEF estimate,18483654.0,13614519,73.66
Countries,IND,India,2022,ROTA,Rotavirus Last Dose,OFFICIAL,Official WHO/UNICEF estimate,17800054.0,14293470,80.3
Countries,IND,India,2022,IPV1,Inactivated Polio 1st Dose,OFFICIAL,Official WHO/UNICEF estimate,18231712.0,12513911,68.64
Countries,IND,India,2022,HPV,Human Papillomavirus Last Dose,OFFICIAL,Official WHO/UNICEF estimate,18220772.0,10816570,59.36
Countries,IND,India,2023,MCV1,Measles 1st Dose,ADMINISTRATIVE,Administrative reports from health facilities,18106463.0,14970983,82.68
Countries,IND,India,2023,MCV2,Measles 2nd Dose,ADMINISTRATIVE,Administrative reports from health facilities,18724031.0,12578920,67.18
Countries,IND,India,2023,DTP1,Diphtheria-Tetanus-Pertussis 1st Dose,ADMINISTRATIVE,Administrative reports from health facilities,18154371.0,14440730,79.54
Countries,IND,India,2023,DTP3,Diphtheria-Tetanus-Pertussis 3rd Dose,ADMINISTRATIVE,Administrative reports from health facilities,18075385.0,12115097,67.03
Countries,IND,India,2023,BCG,Bacillus Calmette-Guérin (Tuberculosis),ADMINISTRATIVE,Administrative reports from health facilities,18424252.0,16264291,88.3%
Countries,IND,India,2023,HEPB3,Hepatitis B 3rd Dose,ADMINISTRATIVE,Administrative reports from health facilities,18482493.0,13483156,72.95
Countries,IND,India,2023,POL3,Polio 3rd Dose,ADMINISTRATIVE,Administrative reports from health facilities,18340748.0,13756817,75.01
Countries,IND,India,2023,ROTA,Rotavirus Last Dose,ADMINISTRATIVE,Administrative reports from health facilities,18225106.0,13403334,73.54
Countries,IND,India,2023,IPV1,Inactivated Polio 1st Dose,ADMINISTRATIVE,Administrative reports from health facilities,18858210.0,13219007,70.1
Countries,IND,India,2023,HPV,Human Papillomavirus Last Dose,ADMINISTRATIVE,Administrative reports from health facilities,18514193.0,12852173,69.42
Countries,IND,India,2024,MCV1,Measles 1st Dose,OFFICIAL,Official WHO/UNICEF estimate,18264304.0,14931486,81.75
Countries,IND,India,2024,MCV2,Measles 2nd Dose,OFFICIAL,Official WHO/UNICEF estimate,18112207.0,11873053,65.6%
Countries,IND,India,2024,DTP1,Diphtheria-Tetanus-Pertussis 1st Dose,OFFICIAL,Official WHO/UNICEF estimate,18223239.0,14567109,79.94
Countries,IND,India,2024,DTP3,Diphtheria-Tetanus-Pertussis 3rd Dose,OFFICIAL,Official WHO/UNICEF estimate,18863022.0,13978441,74.1
Countries,IND,India,2024,BCG,Bacillus Calmette-Guérin (Tuberculosis),OFFICIAL,Official WHO/UNICEF estimate,18295021.0,15088048,82.47
Countries,IND,India,2024,HEPB3,Hepatitis B 3rd Dose,OFFICIAL,Official WHO/UNICEF estimate,18513675.0,13435307,72.57
Countries,IND,India,2024,POL3,Polio 3rd Dose,OFFICIAL,Official WHO/UNICEF estimate,19197963.0,15251173,79.44
Countries,IND,India,2024,ROTA,Rotavirus Last Dose,OFFICIAL,Official WHO/UNICEF estimate,18759170.0,13376228,71.31
Countries,IND,India,2024,IPV1,Inactivated Polio 1st Dose,OFFICIAL,Official WHO/UNICEF estimate,18416955.0,13614319,73.92
Countries,IND,India,2024,HPV,Human Papillomavirus Last Dose,OFFICIAL,Official WHO/UNICEF estimate,18304906.0,12515032,68.37
Countries,USA,United States,2010,MCV1,Measles 1st Dose,OFFICIAL,Official WHO/UNICEF estimate,,11213755,94.61
Countries,USA,United States,2010,MCV2,Measles 2nd Dose,OFFICIAL,Official WHO/UNICEF estimate,11746474.0,9393565,79.97
Countries,USA,United States,2010,DTP1,Diphtheria-Tetanus-Pertussis 1st Dose,OFFICIAL,Official WHO/UNICEF estimate,12056531.0,11453816,95.0
Countries,USA,United States,2010,DTP3,Diphtheria-Tetanus-Pertussis 3rd Dose,OFFICIAL,Official WHO/UNICEF estimate,11790063.0,9056663,76.82
Countries,USA,United States,2010,BCG,Bacillus Calmette-Guérin (Tuberculosis),OFFICIAL,Official WHO/UNICEF estimate,11819301.0,11518644,97.46
Countries,USA,United States,2010,HEPB3,Hepatitis B 3rd Dose,OFFICIAL,Official WHO/UNICEF estimate,11752392.0,10260676,87.31
Countries,USA,United States,2010,POL3,Polio 3rd Dose,OFFICIAL,Official WHO/UNICEF estimate,11188538.0,10655365,95.23
Countries,USA,United States,2010,ROTA,Rotavirus Last Dose,OFFICIAL,Official WHO/UNICEF estimate,,10059255,85.96
Countries,USA,United States,2010,IPV1,Inactivated Polio 1st Dose,OFFICIAL,Official WHO/UNICEF estimate,11403000.0,10006034,87.75
Countries,USA,United States,2010,HPV,Human Papillomavirus Last Dose,OFFICIAL,Official WHO/UNICEF estimate,11991785.0,9358497,78.04
Countries,USA,United States,2011,MCV1,Measles 1st Dose,ADMINISTRATIVE,Administrative reports from health facilities,11468653.0,10668207,93.02
Countries,USA,United States,2011,MCV2,Measles 2nd Dose,ADMINISTRATIVE,Administrative reports from health facilities,11919917.0,9853207,82.66
Countries,USA,United States,2011,DTP1,Diphtheria-Tetanus-Pertussis 1st Dose,ADMINISTRATIVE,Administrative reports from health facilities,11599291.0,10763198,92.79
Countries,USA,United States,2011,DTP3,Diphtheria-Tetanus-Pertussis 3rd Dose,ADMINISTRATIVE,Administrative reports from health facilities,11360286.0,9505249,83.67
Countries,USA,United States,2011,BCG,Bacillus Calmette-Guérin (Tuberculosis),ADMINISTRATIVE,Administrative reports from health facilities,11826600.0,11440327,96.73
Countries,USA,United States,2011,HEPB3,Hepatitis B 3rd Dose,ADMINISTRATIVE,Administrative reports from health facilities,11390031.0,10910872,95.79
Countries,USA,United States,2011,POL3,Polio 3rd Dose,ADMINISTRATIVE,Administrative reports from health facilities,11770574.0,10144483,86.19
Countries,USA,United States,2011,ROTA,Rotavirus Last Dose,ADMINISTRATIVE,Administrative reports from health facilities,11579723.0,9525974,82.26
Countries,USA,United States,2011,IPV1,Inactivated Polio 1st Dose,ADMINISTRATIVE,Administrative reports from health facilities,11750260.0,11135766,94.77
Countries,USA,United States,2011,HPV,Human Papillomavirus Last Dose,ADMINISTRATIVE,Administrative reports from health facilities,11992919.0,10037897,83.7
Countries,USA,United States,2012,MCV1,Measles 1st Dose,OFFICIAL,Official WHO/UNICEF estimate,11662524.0,11418248,97.91
Countries,USA,United States,2012,MCV2,Measles 2nd Dose,OFFICIAL,Official WHO/UNICEF estimate,11653634.0,9544865,81.9
Countries,USA,United States,2012,DTP1,Diphtheria-Tetanus-Pertussis 1st Dose,OFFICIAL,Official WHO/UNICEF estimate,12457594.0,11933508,95.79
Countries,USA,United States,2012,DTP3,Diphtheria-Tetanus-Pertussis 3rd Dose,OFFICIAL,Official WHO/UNICEF estimate,11763936.0,10181672,86.5%
Countries,USA,United States,2012,BCG,Bacillus Calmette-Guérin (Tuberculosis),OFFICIAL,Official WHO/UNICEF estimate,11994576.0,11874630,99.0
Countries,USA,United States,2012,HEPB3,Hepatitis B 3rd Dose,OFFICIAL,Official WHO/UNICEF estimate,11950201.0,10660546,89.21
Countries,USA,United States,2012,POL3,Polio 3rd Dose,OFFICIAL,Official WHO/UNICEF estimate,11524689.0,10654334,92.45
Countries,USA,United States,2012,ROTA,Rotavirus Last Dose,OFFICIAL,Official WHO/UNICEF estimate,11771788.0,10436758,88.66
Countries,USA,United States,2012,IPV1,Inactivated Polio 1st Dose,OFFICIAL,Official WHO/UNICEF estimate,12030760.0,11286945,93.82
Countries,USA,United States,2012,HPV,Human Papillomavirus Last Dose,OFFICIAL,Official WHO/UNICEF estimate,11764707.0,9464417,80.45
Countries,USA,United States,2013,MCV1,Measles 1st Dose,ADMINISTRATIVE,Administrative reports from health facilities,12212239.0,11570242,94.74
Countries,USA,United States,2013,MCV2,Measles 2nd Dose,ADMINISTRATIVE,Administrative reports from health facilities,12320178.0,9469051,76.86
Countries,USA,United States,2013,DTP1,Diphtheria-Tetanus-Pertussis 1st Dose,ADMINISTRATIVE,Administrative reports from health facilities,12297677.0,12059546,98.06
Countries,USA,United States,2013,DTP3,Diphtheria-Tetanus-Pertussis 3rd Dose,ADMINISTRATIVE,Administrative reports from health facilities,11342275.0,8728433,76.95
Countries,USA,United States,2013,BCG,Bacillus Calmette-Guérin (Tuberculosis),ADMINISTRATIVE,Administrative reports from health facilities,11634444.0,11407678,98.05
Countries,USA,United States,2013,HEPB3,Hepatitis B 3rd Dose,ADMINISTRATIVE,Administrative reports from health facilities,11828051.0,11122613,94.04
Countries,USA,United States,2013,POL3,Polio 3rd Dose,ADMINISTRATIVE,Administrative reports from health facilities,11644935.0,10558978,90.67
Countries,USA,United States,2013,ROTA,Rotavirus Last Dose,ADMINISTRATIVE,Administrative reports from health facilities,12031582.0,11342850,94.28
Countries,USA,United States,2013,IPV1,Inactivated Polio 1st Dose,ADMINISTRATIVE,Administrative reports from health facilities,11730326.0,10168913,86.69
Countries,USA,United States,2013,HPV,Human Papillomavirus Last Dose,ADMINISTRATIVE,Administrative reports from health facilities,12253451.0,9853603,80.41
Countries,USA,United States,2014,MCV1,Measles 1st Dose,OFFICIAL,Official WHO/UNICEF estimate,12015159.0,11895007,99.0
Countries,USA,United States,2014,MCV2,Measles 2nd Dose,OFFICIAL,Official WHO/UNICEF estimate,12530313.0,10528200,84.02
Countries,USA,United States,2014,DTP1,Diphtheria-Tetanus-Pertussis 1st Dose,OFFICIAL,Official WHO/UNICEF estimate,12102855.0,11981826,99.0
Countries,USA,United States,2014,DTP3,Diphtheria-Tetanus-Pertussis 3rd Dose,OFFICIAL,Official WHO/UNICEF estimate,12064203.0,10083751,83.58
Countries,USA,United States,2014,BCG,Bacillus Calmette-Guérin (Tuberculosis),OFFICIAL,Official WHO/UNICEF estimate,12136143.0,12014781,99.0
