Group,Code,Name,Year,Disease,Disease_description,Denominator,Incidence_rate
Countries,IND,India,2014,HEPB,Hepatitis B,"Per 100,000 population",48.09
Countries,IND,India,2014,TUBERCULOSIS,Tuberculosis,"Per 100,000 population",124.76
Countries,IND,India,2014,ROTA_DIARRHEA,Rotavirus Diarrhea,"Per 100,000 population",190.8
Countries,IND,India,2014,INFLUENZA,Seasonal Influenza,"Per 100,000 population",244.8
Countries,IND,India,2015,MEASLES,Measles,"Per 100,000 population",74.77
Countries,IND,India,2015,PERTUSSIS,Pertussis (Whooping Cough),"Per 100,000 population",43.34
Countries,IND,India,2015,DIPHTHERIA,Diphtheria,"Per 100,000 population",8.44
Countries,IND,India,2015,TETANUS,Neonatal Tetanus,"Per 1,000 live births",0.1
Countries,IND,India,2015,POLIO,Poliomyelitis,"Per 100,000 population",25.62
Countries,IND,India,2015,HEPB,Hepatitis B,"Per 100,000 population",57.12
Countries,IND,India,2015,TUBERCULOSIS,Tuberculosis,"Per 100,000 population",115.08
Countries,IND,India,2015,ROTA_DIARRHEA,Rotavirus Diarrhea,"Per 100,000 population",190.79
Countries,IND,India,2015,INFLUENZA,Seasonal Influenza,"Per 100,000 population",248.68
Countries,IND,India,2016,MEASLES,Measles,"Per 100,000 population",56.51
Countries,IND,India,2016,PERTUSSIS,Pertussis (Whooping Cough),"Per 100,000 population",29.88
Countries,IND,India,2016,DIPHTHERIA,Diphtheria,"Per 100,000 population",14.76
Countries,IND,India,2016,TETANUS,Neonatal Tetanus,"Per 1,000 live births",2.24
Countries,IND,India,2016,POLIO,Poliomyelitis,"Per 100,000 population",25.26
Countries,IND,India,2016,HEPB,Hepatitis B,"Per 100,000 population",46.06
Countries,IND,India,2016,TUBERCULOSIS,Tuberculosis,"Per 100,000 population",82.93
Countries,IND,India,2016,ROTA_DIARRHEA,Rotavirus Diarrhea,"Per 100,000 population",158.67
Countries,IND,India,2016,INFLUENZA,Seasonal Influenza,"Per 100,000 population",200.51
Countries,IND,India,2017,MEASLES,Measles,"Per 100,000 population",51.76
Countries,IND,India,2017,PERTUSSIS,Pertussis (Whooping Cough),"Per 100,000 population",31.65
Countries,IND,India,2017,DIPHTHERIA,Diphtheria,"Per 100,000 population",9.37
Countries,IND,India,2017,TETANUS,Neonatal Tetanus,"Per 1,000 live births",1.84
Countries,IND,India,2017,POLIO,Poliomyelitis,"Per 100,000 population",17.85
Countries,IND,India,2017,HEPB,Hepatitis B,"Per 100,000 population",45.35
Countries,IND,India,2017,TUBERCULOSIS,Tuberculosis,"Per 100,000 population",104.76
Countries,IND,India,2017,ROTA_DIARRHEA,Rotavirus Diarrhea,"Per 100,000 population",191.42
Countries,IND,India,2017,INFLUENZA,Seasonal Influenza,"Per 100,000 population",229.64
Countries,IND,India,2018,MEASLES,Measles,"Per 100,000 population",54.08
Countries,IND,India,2018,PERTUSSIS,Pertussis (Whooping Cough),"Per 100,000 population",32.73
Countries,IND,India,2018,DIPHTHERIA,Diphtheria,"Per 100,000 population",0.1
Countries,IND,India,2018,TETANUS,Neonatal Tetanus,"Per 1,000 live births",9.04
Countries,IND,India,2018,POLIO,Poliomyelitis,"Per 100,000 population",16.36
Countries,IND,India,2018,HEPB,Hepatitis B,"Per 100,000 population",51.99
Countries,IND,India,2018,TUBERCULOSIS,Tuberculosis,"Per 100,000 population",98.98
Countries,IND,India,2018,ROTA_DIARRHEA,Rotavirus Diarrhea,"Per 100,000 population",156.63
Countries,IND,India,2018,INFLUENZA,Seasonal Influenza,"Per 100,000 population",208.5
Countries,IND,India,2019,MEASLES,Measles,"Per 100,000 population",48.79
Countries,IND,India,2019,PERTUSSIS,Pertussis (Whooping Cough),"Per 100,000 population",41.02
Countries,IND,India,2019,DIPHTHERIA,Diphtheria,"Per 100,000 population",15.51
Countries,IND,India,2019,TETANUS,Neonatal Tetanus,"Per 1,000 live births",2.11
Countries,IND,India,2019,POLIO,Poliomyelitis,"Per 100,000 population",22.58
Countries,IND,India,2019,HEPB,Hepatitis B,"Per 100,000 population",45.33
Countries,IND,India,2019,TUBERCULOSIS,Tuberculosis,"Per 100,000 population",86.49
Countries,IND,India,2019,ROTA_DIARRHEA,Rotavirus Diarrhea,"Per 100,000 population",148.64
Countries,IND,India,2019,INFLUENZA,Seasonal Influenza,"Per 100,000 population",187.21
Countries,IND,India,2020,MEASLES,Measles,"Per 100,000 population",71.98
Countries,IND,India,2020,PERTUSSIS,Pertussis (Whooping Cough),"Per 100,000 population",64.27
Countries,IND,India,2020,DIPHTHERIA,Diphtheria,"Per 100,000 population",12.6
Countries,IND,India,2020,TETANUS,Neonatal Tetanus,"Per 1,000 live births",0.1
Countries,IND,India,2020,POLIO,Poliomyelitis,"Per 100,000 population",7.77
Countries,IND,India,2020,HEPB,Hepatitis B,"Per 100,000 population",46.96
Countries,IND,India,2020,TUBERCULOSIS,Tuberculosis,"Per 100,000 population",129.13
Countries,IND,India,2020,ROTA_DIARRHEA,Rotavirus Diarrhea,"Per 100,000 population",207.11
Countries,IND,India,2020,INFLUENZA,Seasonal Influenza,"Per 100,000 population",271.69
Countries,IND,India,2021,MEASLES,Measles,"Per 100,000 population",80.31
Countries,IND,India,2021,PERTUSSIS,Pertussis (Whooping Cough),"Per 100,000 population",66.44
Countries,IND,India,2021,DIPHTHERIA,Diphtheria,"Per 100,000 population",6.99
Countries,IND,India,2021,TETANUS,Neonatal Tetanus,"Per 1,000 live births",0.1
Countries,IND,India,2021,POLIO,Poliomyelitis,"Per 100,000 population",27.91
Countries,IND,India,2021,HEPB,Hepatitis B,"Per 100,000 population",45.11
Countries,IND,India,2021,TUBERCULOSIS,Tuberculosis,"Per 100,000 population",118.59
Countries,IND,India,2021,ROTA_DIARRHEA,Rotavirus Diarrhea,"Per 100,000 population",227.47
Countries,IND,India,2021,INFLUENZA,Seasonal Influenza,"Per 100,000 population",284.03
Countries,IND,India,2022,MEASLES,Measles,"Per 100,000 population",49.77
Countries,IND,India,2022,PERTUSSIS,Pertussis (Whooping Cough),"Per 100,000 population",32.5
Countries,IND,India,2022,DIPHTHERIA,Diphtheria,"Per 100,000 population",4.12
Countries,IND,India,2022,TETANUS,Neonatal Tetanus,"Per 1,000 live births",0.1
Countries,IND,India,2022,POLIO,Poliomyelitis,"Per 100,000 population",7.68
Countries,IND,India,2022,HEPB,Hepatitis B,"Per 100,000 population",34.45
Countries,IND,India,2022,TUBERCULOSIS,Tuberculosis,"Per 100,000 population",71.54
Countries,IND,India,2022,ROTA_DIARRHEA,Rotavirus Diarrhea,"Per 100,000 population",129.53
Countries,IND,India,2022,INFLUENZA,Seasonal Influenza,"Per 100,000 population",159.13
Countries,IND,India,2023,MEASLES,Measles,"Per 100,000 population",46.79
Countries,IND,India,2023,PERTUSSIS,Pertussis (Whooping Cough),"Per 100,000 population",33.3
Countries,IND,India,2023,DIPHTHERIA,Diphtheria,"Per 100,000 population",18.23
Countries,IND,India,2023,TETANUS,Neonatal Tetanus,"Per 1,000 live births",5.71
Countries,IND,India,2023,POLIO,Poliomyelitis,"Per 100,000 population",5.74
Countries,IND,India,2023,HEPB,Hepatitis B,"Per 100,000 population",33.28
Countries,IND,India,2023,TUBERCULOSIS,Tuberculosis,"Per 100,000 population",84.34
Countries,IND,India,2023,ROTA_DIARRHEA,Rotavirus Diarrhea,"Per 100,000 population",136.48
Countries,IND,India,2023,INFLUENZA,Seasonal Influenza,"Per 100,000 population",177.47
Countries,IND,India,2024,MEASLES,Measles,"Per 100,000 population",47.99
Countries,IND,India,2024,PERTUSSIS,Pertussis (Whooping Cough),"Per 100,000 population",30.36
Countries,IND,India,2024,DIPHTHERIA,Diphtheria,"Per 100,000 population",1.92
Countries,IND,India,2024,TETANUS,Neonatal Tetanus,"Per 1,000 live births",0.1
Countries,IND,India,2024,POLIO,Poliomyelitis,"Per 100,000 population",2.97
Countries,IND,India,2024,HEPB,Hepatitis B,"Per 100,000 population",26.44
Countries,IND,India,2024,TUBERCULOSIS,Tuberculosis,"Per 100,000 population",92.24
Countries,IND,India,2024,ROTA_DIARRHEA,Rotavirus Diarrhea,"Per 100,000 population",133.15
Countries,IND,India,2024,INFLUENZA,Seasonal Influenza,"Per 100,000 population",168.99
Countries,USA,United States,2010,MEASLES,Measles,"Per 100,000 population",2.8
Countries,USA,United States,2010,PERTUSSIS,Pertussis (Whooping Cough),"Per 100,000 population",2.76
Countries,USA,United States,2010,DIPHTHERIA,Diphtheria,"Per 100,000 population",1.62
Countries,USA,United States,2010,TETANUS,Neonatal Tetanus,"Per 1,000 live births",0.94
Countries,USA,United States,2010,POLIO,Poliomyelitis,"Per 100,000 population",1.61
Countries,USA,United States,2010,HEPB,Hepatitis B,"Per 100,000 population",1.89
Countries,USA,United States,2010,TUBERCULOSIS,Tuberculosis,"Per 100,000 population",5.77
Countries,USA,United States,2010,ROTA_DIARRHEA,Rotavirus Diarrhea,"Per 100,000 population",9.04
Countries,USA,United States,2010,INFLUENZA,Seasonal Influenza,"Per 100,000 population",12.47
Countries,USA,United States,2011,MEASLES,Measles,"Per 100,000 population",4.35
Countries,USA,United States,2011,PERTUSSIS,Pertussis (Whooping Cough),"Per 100,000 population",2.62
Countries,USA,United States,2011,DIPHTHERIA,Diphtheria,"Per 100,000 population",2.01
Countries,USA,United States,2011,TETANUS,Neonatal Tetanus,"Per 1,000 live births",0.1
Countries,USA,United States,2011,POLIO,Poliomyelitis,"Per 100,000 population",0.1
Countries,USA,United States,2011,HEPB,Hepatitis B,"Per 100,000 population",2.82
Countries,USA,United States,2011,TUBERCULOSIS,Tuberculosis,"Per 100,000 population",5.5
Countries,USA,United States,2011,ROTA_DIARRHEA,Rotavirus Diarrhea,"Per 100,000 population",9.29
Countries,USA,United States,2011,INFLUENZA,Seasonal Influenza,"Per 100,000 population",11.7
Countries,USA,United States,2012,MEASLES,Measles,"Per 100,000 population",2.37
Countries,USA,United States,2012,PERTUSSIS,Pertussis (Whooping Cough),"Per 100,000 population",2.22
Countries,USA,United States,2012,DIPHTHERIA,Diphtheria,"Per 100,000 population",1.33
Countries,USA,United States,2012,TETANUS,Neonatal Tetanus,"Per 1,000 live births",1.27
Countries,USA,United States,2012,POLIO,Poliomyelitis,"Per 100,000 population",0.1
Countries,USA,United States,2012,HEPB,Hepatitis B,"Per 100,000 population",2.37
Countries,USA,United States,2012,TUBERCULOSIS,Tuberculosis,"Per 100,000 population",6.47
Countries,USA,United States,2012,ROTA_DIARRHEA,Rotavirus Diarrhea,"Per 100,000 population",7.85
Countries,USA,United States,2012,INFLUENZA,Seasonal Influenza,"Per 100,000 population",10.05
Countries,USA,United States,2013,MEASLES,Measles,"Per 100,000 population",3.88
Countries,USA,United States,2013,PERTUSSIS,Pertussis (Whooping Cough),"Per 100,000 population",2.81
Countries,USA,United States,2013,DIPHTHERIA,Diphtheria,"Per 100,000 population",0.1
Countries,USA,United States,2013,TETANUS,Neonatal Tetanus,"Per 1,000 live births",0.1
Countries,USA,United States,2013,POLIO,Poliomyelitis,"Per 100,000 population",0.85
Countries,USA,United States,2013,HEPB,Hepatitis B,"Per 100,000 population",1.9
Countries,USA,United States,2013,TUBERCULOSIS,Tuberculosis,"Per 100,000 population",3.72
Countries,USA,United States,2013,ROTA_DIARRHEA,Rotavirus Diarrhea,"Per 100,000 population",8.31
Countries,USA,United States,2013,INFLUENZA,Seasonal Influenza,"Per 100,000 population",12.18
Countries,USA,United States,2014,MEASLES,Measles,"Per 100,000 population",2.52
Countries,USA,United States,2014,PERTUSSIS,Pertussis (Whooping Cough),"Per 100,000 population",3.46
Countries,USA,United States,2014,DIPHTHERIA,Diphtheria,"Per 100,000 population",0.1
Countries,USA,United States,2014,TETANUS,Neonatal Tetanus,"Per 1,000 live births",1.52
Countries,USA,United States,2014,POLIO,Poliomyelitis,"Per 100,000 population",0.21
Countries,USA,United States,2014,HEPB,Hepatitis B,"Per 100,000 population",1.51
Countries,USA,United States,2014,TUBERCULOSIS,Tuberculosis,"Per 100,000 population",3.12
Countries,USA,United States,2014,ROTA_DIARRHEA,Rotavirus Diarrhea,"Per 100,000 population",8.24
Countries,USA,United States,2014,INFLUENZA,Seasonal Influenza,"Per 100,000 population",8.17
Countries,USA,United States,2015,MEASLES,Measles,"Per 100,000 population",3.57
Countries,USA,United States,2015,PERTUSSIS,Pertussis (Whooping Cough),"Per 100,000 population",0.44
Countries,USA,United States,2015,DIPHTHERIA,Diphtheria,"Per 100,000 population",0.1
Countries,USA,United States,2015,TETANUS,Neonatal Tetanus,"Per 1,000 live births",0.1
Countries,USA,United States,2015,POLIO,Poliomyelitis,"Per 100,000 population",0.1
Countries,USA,United States,2015,HEPB,Hepatitis B,"Per 100,000 population",3.01
Countries,USA,United States,2015,TUBERCULOSIS,Tuberculosis,"Per 100,000 population",6.32
Countries,USA,United States,2015,ROTA_DIARRHEA,Rotavirus Diarrhea,"Per 100,000 population",7.42
Countries,USA,United States,2015,INFLUENZA,Seasonal Influenza,"Per 100,000 population",10.28
Countries,USA,United States,2016,MEASLES,Measles,"Per 100,000 population",3.15
Countries,USA,United States,2016,PERTUSSIS,Pertussis (Whooping Cough),"Per 100,000 population",1.55
Countries,USA,United States,2016,DIPHTHERIA,Diphtheria,"Per 100,000 population",0.78
Countries,USA,United States,2016,TETANUS,Neonatal Tetanus,"Per 1,000 live births",0.17
Countries,USA,United States,2016,POLIO,Poliomyelitis,"Per 100,000 population",0.3
Countries,USA,United States,2016,HEPB,Hepatitis B,"Per 100,000 population",0.57
Countries,USA,United States,2016,TUBERCULOSIS,Tuberculosis,"Per 100,000 population",4.8
Countries,USA,United States,2016,ROTA_DIARRHEA,Rotavirus Diarrhea,"Per 100,000 population",8.71
Countries,USA,United States,2016,INFLUENZA,Seasonal Influenza,"Per 100,000 population",9.19
Countries,USA,United States,2017,MEASLES,Measles,"Per 100,000 population",0.47
Countries,USA,United States,2017,PERTUSSIS,Pertussis (Whooping Cough),"Per 100,000 population",1.41
Countries,USA,United States,2017,DIPHTHERIA,Diphtheria,"Per 100,000 population",1.81
Countries,USA,United States,2017,TETANUS,Neonatal Tetanus,"Per 1,000 live births",1.37
Countries,USA,United States,2017,POLIO,Poliomyelitis,"Per 100,000 population",0.1
Countries,USA,United States,2017,HEPB,Hepatitis B,"Per 100,000 population",2.28
Countries,USA,United States,2017,TUBERCULOSIS,Tuberculosis,"Per 100,000 population",4.88
Countries,USA,United States,2017,ROTA_DIARRHEA,Rotavirus Diarrhea,"Per 100,000 population",8.6
Countries,USA,United States,2017,INFLUENZA,Seasonal Influenza,"Per 100,000 population",7.59
Countries,USA,United States,2018,MEASLES,Measles,"Per 100,000 population",1.43
Countries,USA,United States,2018,PERTUSSIS,Pertussis (Whooping Cough),"Per 100,000 population",0.1
Countries,USA,United States,2018,DIPHTHERIA,Diphtheria,"Per 100,000 population",0.1
Countries,USA,United States,2018,TETANUS,Neonatal Tetanus,"Per 1,000 live births",1.23
Countries,USA,United States,2018,POLIO,Poliomyelitis,"Per 100,000 population",0.1
Countries,USA,United States,2018,HEPB,Hepatitis B,"Per 100,000 population",0.57
Countries,USA,United States,2018,TUBERCULOSIS,Tuberculosis,"Per 100,000 population",4.6
Countries,USA,United States,2018,ROTA_DIARRHEA,Rotavirus Diarrhea,"Per 100,000 population",7.54
Countries,USA,United States,2018,INFLUENZA,Seasonal Influenza,"Per 100,000 population",8.35
Countries,USA,United States,2019,MEASLES,Measles,"Per 100,000 population",1.94
Countries,USA,United States,2019,PERTUSSIS,Pertussis (Whooping Cough),"Per 100,000 population",1.88
Countries,USA,United States,2019,DIPHTHERIA,Diphtheria,"Per 100,000 population",1.05
Countries,USA,United States,2019,TETANUS,Neonatal Tetanus,"Per 1,000 live births",0.1
Countries,USA,United States,2019,POLIO,Poliomyelitis,"Per 100,000 population",0.1
Countries,USA,United States,2019,HEPB,Hepatitis B,"Per 100,000 population",3.75
Countries,USA,United States,2019,TUBERCULOSIS,Tuberculosis,"Per 100,000 population",4.01
Countries,USA,United States,2019,ROTA_DIARRHEA,Rotavirus Diarrhea,"Per 100,000 population",7.39
Countries,USA,United States,2019,INFLUENZA,Seasonal Influenza,"Per 100,000 population",9.82
Countries,USA,United States,2020,MEASLES,Measles,"Per 100,000 population",1.38
Countries,USA,United States,2020,PERTUSSIS,Pertussis (Whooping Cough),"Per 100,000 population",2.23
Countries,USA,United States,2020,DIPHTHERIA,Diphtheria,"Per 100,000 population",0.1
Countries,USA,United States,2020,TETANUS,Neonatal Tetanus,"Per 1,000 live births",0.1
Countries,USA,United States,2020,POLIO,Poliomyelitis,"Per 100,000 population",2.03
Countries,USA,United States,2020,HEPB,Hepatitis B,"Per 100,000 population",1.38
Countries,USA,United States,2020,TUBERCULOSIS,Tuberculosis,"Per 100,000 population",3.88
Countries,USA,United States,2020,ROTA_DIARRHEA,Rotavirus Diarrhea,"Per 100,000 population",11.13
Countries,USA,United States,2020,INFLUENZA,Seasonal Influenza,"Per 100,000 population",10.74
Countries,USA,United States,2021,MEASLES,Measles,"Per 100,000 population",1.49
Countries,USA,United States,2021,PERTUSSIS,Pertussis (Whooping Cough),"Per 100,000 population",3.73
Countries,USA,United States,2021,DIPHTHERIA,Diphtheria,"Per 100,000 population",0.1
Countries,USA,United States,2021,TETANUS,Neonatal Tetanus,"Per 1,000 live births",1.84
Countries,USA,United States,2021,POLIO,Poliomyelitis,"Per 100,000 population",0.9
Countries,USA,United States,2021,HEPB,Hepatitis B,"Per 100,000 population",3.52
Countries,USA,United States,2021,TUBERCULOSIS,Tuberculosis,"Per 100,000 population",5.41
Countries,USA,United States,2021,ROTA_DIARRHEA,Rotavirus Diarrhea,"Per 100,000 population",9.79
Countries,USA,United States,2021,INFLUENZA,Seasonal Influenza,"Per 100,000 population",10.28
Countries,USA,United States,2022,MEASLES,Measles,"Per 100,000 population",1.51
Countries,USA,United States,2022,PERTUSSIS,Pertussis (Whooping Cough),"Per 100,000 population",0.1
Countries,USA,United States,2022,DIPHTHERIA,Diphtheria,"Per 100,000 population",1.24
Countries,USA,United States,2022,TETANUS,Neonatal Tetanus,"Per 1,000 live births",0.56
Countries,USA,United States,2022,POLIO,Poliomyelitis,"Per 100,000 population",0.1
Countries,USA,United States,2022,HEPB,Hepatitis B,"Per 100,000 population",0.1
Countries,USA,United States,2022,TUBERCULOSIS,Tuberculosis,"Per 100,000 population",4.0
Countries,USA,United States,2022,ROTA_DIARRHEA,Rotavirus Diarrhea,"Per 100,000 population",7.88
Countries,USA,United States,2022,INFLUENZA,Seasonal Influenza,"Per 100,000 population",7.84
Countries,USA,United States,2023,MEASLES,Measles,"Per 100,000 population",1.4
Countries,USA,United States,2023,PERTUSSIS,Pertussis (Whooping Cough),"Per 100,000 population",0.52
Countries,USA,United States,2023,DIPHTHERIA,Diphtheria,"Per 100,000 population",1.51
Countries,USA,United States,2023,TETANUS,Neonatal Tetanus,"Per 1,000 live births",0.1
Countries,USA,United States,2023,POLIO,Poliomyelitis,"Per 100,000 population",0.1
Countries,USA,United States,2023,HEPB,Hepatitis B,"Per 100,000 population",2.59
Countries,USA,United States,2023,TUBERCULOSIS,Tuberculosis,"Per 100,000 population",4.24
Countries,USA,United States,2023,ROTA_DIARRHEA,Rotavirus Diarrhea,"Per 100,000 population",5.67
Countries,USA,United States,2023,INFLUENZA,Seasonal Influenza,"Per 100,000 population",7.02
Countries,USA,United States,2024,MEASLES,Measles,"Per 100,000 population",3.64
Countries,USA,United States,2024,PERTUSSIS,Pertussis (Whooping Cough),"Per 100,000 population",0.42
Countries,USA,United States,2024,DIPHTHERIA,Diphtheria,"Per 100,000 population",0.1
Countries,USA,United States,2024,TETANUS,Neonatal Tetanus,"Per 1,000 live births",0.1
Countries,USA,United States,2024,POLIO,Poliomyelitis,"Per 100,000 population",1.64
Countries,USA,United States,2024,HEPB,Hepatitis B,"Per 100,000 population",1.16
Countries,USA,United States,2024,TUBERCULOSIS,Tuberculosis,"Per 100,000 population",3.11
Countries,USA,United States,2024,ROTA_DIARRHEA,Rotavirus Diarrhea,"Per 100,000 population",7.0
Countries,USA,United States,2024,INFLUENZA,Seasonal Influenza,"Per 100,000 population",6.73
Countries,BRA,Brazil,2010,MEASLES,Measles,"Per 100,000 population",34.9
Countries,BRA,Brazil,2010,PERTUSSIS,Pertussis (Whooping Cough),"Per 100,000 population",20.67
Countries,BRA,Brazil,2010,DIPHTHERIA,Diphtheria,"Per 100,000 population",0.1
Countries,BRA,Brazil,2010,TETANUS,Neonatal Tetanus,"Per 1,000 live births",0.1
Countries,BRA,Brazil,2010,POLIO,Poliomyelitis,"Per 100,000 population",3.19
Countries,BRA,Brazil,2010,HEPB,Hepatitis B,"Per 100,000 population",21.57
Countries,BRA,Brazil,2010,TUBERCULOSIS,Tuberculosis,"Per 100,000 population",49.52
Countries,BRA,Brazil,2010,ROTA_DIARRHEA,Rotavirus Diarrhea,"Per 100,000 population",93.99
Countries,BRA,Brazil,2010,INFLUENZA,Seasonal Influenza,"Per 100,000 population",112.83
Countries,BRA,Brazil,2011,MEASLES,Measles,"Per 100,000 population",17.66
Countries,BRA,Brazil,2011,PERTUSSIS,Pertussis (Whooping Cough),"Per 100,000 population",30.49
Countries,BRA,Brazil,2011,DIPHTHERIA,Diphtheria,"Per 100,000 population",4.68
Countries,BRA,Brazil,2011,TETANUS,Neonatal Tetanus,"Per 1,000 live births",12.01
Countries,BRA,Brazil,2011,POLIO,Poliomyelitis,"Per 100,000 population",0.93
Countries,BRA,Brazil,2011,HEPB,Hepatitis B,"Per 100,000 population",24.52
Countries,BRA,Brazil,2011,TUBERCULOSIS,Tuberculosis,"Per 100,000 population",56.08
Countries,BRA,Brazil,2011,ROTA_DIARRHEA,Rotavirus Diarrhea,"Per 100,000 population",85.06
Countries,BRA,Brazil,2011,INFLUENZA,Seasonal Influenza,"Per 100,000 population",103.36
Countries,BRA,Brazil,2012,MEASLES,Measles,"Per 100,000 population",23.73
Countries,BRA,Brazil,2012,PERTUSSIS,Pertussis (Whooping Cough),"Per 100,000 population",20.88
Countries,BRA,Brazil,2012,DIPHTHERIA,Diphtheria,"Per 100,000 population",6.07
Countries,BRA,Brazil,2012,TETANUS,Neonatal Tetanus,"Per 1,000 live births",1.66
Countries,BRA,Brazil,2012,POLIO,Poliomyelitis,"Per 100,000 population",9.71
Countries,BRA,Brazil,2012,HEPB,Hepatitis B,"Per 100,000 population",23.04
Countries,BRA,Brazil,2012,TUBERCULOSIS,Tuberculosis,"Per 100,000 population",41.23
Countries,BRA,Brazil,2012,ROTA_DIARRHEA,Rotavirus Diarrhea,"Per 100,000 population",65.48
Countries,BRA,Brazil,2012,INFLUENZA,Seasonal Influenza,"Per 100,000 population",94.91
Countries,BRA,Brazil,2013,MEASLES,Measles,"Per 100,000 population",23.57
Countries,BRA,Brazil,2013,PERTUSSIS,Pertussis (Whooping Cough),"Per 100,000 population",20.06
Countries,BRA,Brazil,2013,DIPHTHERIA,Diphtheria,"Per 100,000 population",10.14
Countries,BRA,Brazil,2013,TETANUS,Neonatal Tetanus,"Per 1,000 live births",4.01
Countries,BRA,Brazil,2013,POLIO,Poliomyelitis,"Per 100,000 population",12.17
Countries,BRA,Brazil,2013,HEPB,Hepatitis B,"Per 100,000 population",15.42
Countries,BRA,Brazil,2013,TUBERCULOSIS,Tuberculosis,"Per 100,000 population",53.21
Countries,BRA,Brazil,2013,ROTA_DIARRHEA,Rotavirus Diarrhea,"Per 100,000 population",88.0
Countries,BRA,Brazil,2013,INFLUENZA,Seasonal Influenza,"Per 100,000 population",102.69
Countries,BRA,Brazil,2014,MEASLES,Measles,"Per 100,000 population",34.83
Countries,BRA,Brazil,2014,PERTUSSIS,Pertussis (Whooping Cough),"Per 100,000 population",12.16
Countries,BRA,Brazil,2014,DIPHTHERIA,Diphtheria,"Per 100,000 population",0.1
Countries,BRA,Brazil,2014,TETANUS,Neonatal Tetanus,"Per 1,000 live births",4.8
Countries,BRA,Brazil,2014,POLIO,Poliomyelitis,"Per 100,000 population",5.11
Countries,BRA,Brazil,2014,HEPB,Hepatitis B,"Per 100,000 population",13.7
