Group,Code,Name,Year,Disease,Disease_description,Cases
Countries,IND,India,2021,ROTA_DIARRHEA,Rotavirus Diarrhea,277912
Countries,IND,India,2021,INFLUENZA,Seasonal Influenza,408467
Countries,IND,India,2022,MEASLES,Measles,69705
Countries,IND,India,2022,PERTUSSIS,Pertussis (Whooping Cough),37198
Countries,IND,India,2022,DIPHTHERIA,Diphtheria,5333
Countries,IND,India,2022,TETANUS,Neonatal Tetanus,177
Countries,IND,India,2022,POLIO,Poliomyelitis,8578
Countries,IND,India,2022,HEPB,Hepatitis B,43233
Countries,IND,India,2022,TUBERCULOSIS,Tuberculosis,85903
Countries,IND,India,2022,ROTA_DIARRHEA,Rotavirus Diarrhea,157940
Countries,IND,India,2022,INFLUENZA,Seasonal Influenza,207895
Countries,IND,India,2023,MEASLES,Measles,69911
Countries,IND,India,2023,PERTUSSIS,Pertussis (Whooping Cough),55770
Countries,IND,India,2023,DIPHTHERIA,Diphtheria,26300
Countries,IND,India,2023,TETANUS,Neonatal Tetanus,7173
Countries,IND,India,2023,POLIO,Poliomyelitis,9892
Countries,IND,India,2023,HEPB,Hepatitis B,32135
Countries,IND,India,2023,TUBERCULOSIS,Tuberculosis,130004
Countries,IND,India,2023,ROTA_DIARRHEA,Rotavirus Diarrhea,161644
Countries,IND,India,2023,INFLUENZA,Seasonal Influenza,246560
Countries,IND,India,2024,MEASLES,Measles,72860
Countries,IND,India,2024,PERTUSSIS,Pertussis (Whooping Cough),32268
Countries,IND,India,2024,DIPHTHERIA,Diphtheria,2745
Countries,IND,India,2024,TETANUS,Neonatal Tetanus,144
Countries,IND,India,2024,POLIO,Poliomyelitis,5070
Countries,IND,India,2024,HEPB,Hepatitis B,52091
Countries,IND,India,2024,TUBERCULOSIS,Tuberculosis,99054
Countries,IND,India,2024,ROTA_DIARRHEA,Rotavirus Diarrhea,226035
Countries,IND,India,2024,INFLUENZA,Seasonal Influenza,235241
Countries,USA,United States,2010,MEASLES,Measles,811
Countries,USA,United States,2010,PERTUSSIS,Pertussis (Whooping Cough),961
Countries,USA,United States,2010,DIPHTHERIA,Diphtheria,430
Countries,USA,United States,2010,TETANUS,Neonatal Tetanus,252
Countries,USA,United States,2010,POLIO,Poliomyelitis,393
Countries,USA,United States,2010,HEPB,Hepatitis B,674
Countries,USA,United States,2010,TUBERCULOSIS,Tuberculosis,1997
Countries,USA,United States,2010,ROTA_DIARRHEA,Rotavirus Diarrhea,2618
Countries,USA,United States,2010,INFLUENZA,Seasonal Influenza,5055
Countries,USA,United States,2011,MEASLES,Measles,1292
Countries,USA,United States,2011,PERTUSSIS,Pertussis (Whooping Cough),1030
Countries,USA,United States,2011,DIPHTHERIA,Diphtheria,675
Countries,USA,United States,2011,TETANUS,Neonatal Tetanus,29
Countries,USA,United States,2011,POLIO,Poliomyelitis,32
Countries,USA,United States,2011,HEPB,Hepatitis B,755
Countries,USA,United States,2011,TUBERCULOSIS,Tuberculosis,1874
Countries,USA,United States,2011,ROTA_DIARRHEA,Rotavirus Diarrhea,3079
Countries,USA,United States,2011,INFLUENZA,Seasonal Influenza,4166
Countries,USA,United States,2012,MEASLES,Measles,885
Countries,USA,United States,2012,PERTUSSIS,Pertussis (Whooping Cough),745
Countries,USA,United States,2012,DIPHTHERIA,Diphtheria,341
Countries,USA,United States,2012,TETANUS,Neonatal Tetanus,477
Countries,USA,United States,2012,POLIO,Poliomyelitis,33
Countries,USA,United States,2012,HEPB,Hepatitis B,559
Countries,USA,United States,2012,TUBERCULOSIS,Tuberculosis,2234
Countries,USA,United States,2012,ROTA_DIARRHEA,Rotavirus Diarrhea,2740
Countries,USA,United States,2012,INFLUENZA,Seasonal Influenza,3138
Countries,USA,United States,2013,MEASLES,Measles,1242
Countries,USA,United States,2013,PERTUSSIS,Pertussis (Whooping Cough),844
Countries,USA,United States,2013,DIPHTHERIA,Diphtheria,35
Countries,USA,United States,2013,TETANUS,Neonatal Tetanus,33
Countries,USA,United States,2013,POLIO,Poliomyelitis,242
Countries,USA,United States,2013,HEPB,Hepatitis B,779
Countries,USA,United States,2013,TUBERCULOSIS,Tuberculosis,1104
Countries,USA,United States,2013,ROTA_DIARRHEA,Rotavirus Diarrhea,1628
Countries,USA,United States,2013,INFLUENZA,Seasonal Influenza,3735
Countries,USA,United States,2014,MEASLES,Measles,960
Countries,USA,United States,2014,PERTUSSIS,Pertussis (Whooping Cough),1106
Countries,USA,United States,2014,DIPHTHERIA,Diphtheria,24
Countries,USA,United States,2014,TETANUS,Neonatal Tetanus,424
Countries,USA,United States,2014,POLIO,Poliomyelitis,58
Countries,USA,United States,2014,HEPB,Hepatitis B,455
Countries,USA,United States,2014,TUBERCULOSIS,Tuberculosis,989
Countries,USA,United States,2014,ROTA_DIARRHEA,Rotavirus Diarrhea,2920
Countries,USA,United States,2014,INFLUENZA,Seasonal Influenza,2748
Countries,USA,United States,2015,MEASLES,Measles,1209
Countries,USA,United States,2015,PERTUSSIS,Pertussis (Whooping Cough),183
Countries,USA,United States,2015,DIPHTHERIA,Diphtheria,37
Countries,USA,United States,2015,TETANUS,Neonatal Tetanus,36
Countries,USA,United States,2015,POLIO,Poliomyelitis,24
Countries,USA,United States,2015,HEPB,Hepatitis B,881
Countries,USA,United States,2015,TUBERCULOSIS,Tuberculosis,1585
Countries,USA,United States,2015,ROTA_DIARRHEA,Rotavirus Diarrhea,2166
Countries,USA,United States,2015,INFLUENZA,Seasonal Influenza,3796
Countries,USA,United States,2016,MEASLES,Measles,978
Countries,USA,United States,2016,PERTUSSIS,Pertussis (Whooping Cough),593
Countries,USA,United States,2016,DIPHTHERIA,Diphtheria,284
Countries,USA,United States,2016,TETANUS,Neonatal Tetanus,56
Countries,USA,United States,2016,POLIO,Poliomyelitis,115
Countries,USA,United States,2016,HEPB,Hepatitis B,226
Countries,USA,United States,2016,TUBERCULOSIS,Tuberculosis,1691
Countries,USA,United States,2016,ROTA_DIARRHEA,Rotavirus Diarrhea,2973
Countries,USA,United States,2016,INFLUENZA,Seasonal Influenza,3320
Countries,USA,United States,2017,MEASLES,Measles,122
Countries,USA,United States,2017,PERTUSSIS,Pertussis (Whooping Cough),457
Countries,USA,United States,2017,DIPHTHERIA,Diphtheria,595
Countries,USA,United States,2017,TETANUS,Neonatal Tetanus,427
Countries,USA,United States,2017,POLIO,Poliomyelitis,29
Countries,USA,United States,2017,HEPB,Hepatitis B,865
Countries,USA,United States,2017,TUBERCULOSIS,Tuberculosis,1651
Countries,USA,United States,2017,ROTA_DIARRHEA,Rotavirus Diarrhea,2949
Countries,USA,United States,2017,INFLUENZA,Seasonal Influenza,3039
Countries,USA,United States,2018,MEASLES,Measles,458
Countries,USA,United States,2018,PERTUSSIS,Pertussis (Whooping Cough),31
Countries,USA,United States,2018,DIPHTHERIA,Diphtheria,39
Countries,USA,United States,2018,TETANUS,Neonatal Tetanus,315
Countries,USA,United States,2018,POLIO,Poliomyelitis,33
Countries,USA,United States,2018,HEPB,Hepatitis B,167
Countries,USA,United States,2018,TUBERCULOSIS,Tuberculosis,1584
Countries,USA,United States,2018,ROTA_DIARRHEA,Rotavirus Diarrhea,2701
Countries,USA,United States,2018,INFLUENZA,Seasonal Influenza,3014
Countries,USA,United States,2019,MEASLES,Measles,738
Countries,USA,United States,2019,PERTUSSIS,Pertussis (Whooping Cough),596
Countries,USA,United States,2019,DIPHTHERIA,Diphtheria,336
Countries,USA,United States,2019,TETANUS,Neonatal Tetanus,35
Countries,USA,United States,2019,POLIO,Poliomyelitis,37
Countries,USA,United States,2019,HEPB,Hepatitis B,996
Countries,USA,United States,2019,TUBERCULOSIS,Tuberculosis,1385
Countries,USA,United States,2019,ROTA_DIARRHEA,Rotavirus Diarrhea,2294
Countries,USA,United States,2019,INFLUENZA,Seasonal Influenza,3282
Countries,USA,United States,2020,MEASLES,Measles,431
Countries,USA,United States,2020,PERTUSSIS,Pertussis (Whooping Cough),656
Countries,USA,United States,2020,DIPHTHERIA,Diphtheria,27
Countries,USA,United States,2020,TETANUS,Neonatal Tetanus,32
Countries,USA,United States,2020,POLIO,Poliomyelitis,705
Countries,USA,United States,2020,HEPB,Hepatitis B,414
Countries,USA,United States,2020,TUBERCULOSIS,Tuberculosis,1508
Countries,USA,United States,2020,ROTA_DIARRHEA,Rotavirus Diarrhea,5027
Countries,USA,United States,2020,INFLUENZA,Seasonal Influenza,3763
Countries,USA,United States,2021,MEASLES,Measles,488
Countries,USA,United States,2021,PERTUSSIS,Pertussis (Whooping Cough),1062
Countries,USA,United States,2021,DIPHTHERIA,Diphtheria,34
Countries,USA,United States,2021,TETANUS,Neonatal Tetanus,741
Countries,USA,United States,2021,POLIO,Poliomyelitis,383
Countries,USA,United States,2021,HEPB,Hepatitis B,1404
Countries,USA,United States,2021,TUBERCULOSIS,Tuberculosis,2011
Countries,USA,United States,2021,ROTA_DIARRHEA,Rotavirus Diarrhea,3429
Countries,USA,United States,2021,INFLUENZA,Seasonal Influenza,2858
Countries,USA,United States,2022,MEASLES,Measles,490
Countries,USA,United States,2022,PERTUSSIS,Pertussis (Whooping Cough),31
Countries,USA,United States,2022,DIPHTHERIA,Diphtheria,403
Countries,USA,United States,2022,TETANUS,Neonatal Tetanus,164
Countries,USA,United States,2022,POLIO,Poliomyelitis,36
Countries,USA,United States,2022,HEPB,Hepatitis B,31
Countries,USA,United States,2022,TUBERCULOSIS,Tuberculosis,1249
Countries,USA,United States,2022,ROTA_DIARRHEA,Rotavirus Diarrhea,2321
Countries,USA,United States,2022,INFLUENZA,Seasonal Influenza,2677
Countries,USA,United States,2023,MEASLES,Measles,565
Countries,USA,United States,2023,PERTUSSIS,Pertussis (Whooping Cough),171
Countries,USA,United States,2023,DIPHTHERIA,Diphtheria,519
Countries,USA,United States,2023,TETANUS,Neonatal Tetanus,42
Countries,USA,United States,2023,POLIO,Poliomyelitis,38
Countries,USA,United States,2023,HEPB,Hepatitis B,930
Countries,USA,United States,2023,TUBERCULOSIS,Tuberculosis,1513
Countries,USA,United States,2023,ROTA_DIARRHEA,Rotavirus Diarrhea,1701
Countries,USA,United States,2023,INFLUENZA,Seasonal Influenza,2073
Countries,USA,United States,2024,MEASLES,Measles,1226
Countries,USA,United States,2024,PERTUSSIS,Pertussis (Whooping Cough),142
Countries,USA,United States,2024,DIPHTHERIA,Diphtheria,28
Countries,USA,United States,2024,TETANUS,Neonatal Tetanus,36
Countries,USA,United States,2024,POLIO,Poliomyelitis,518
Countries,USA,United States,2024,HEPB,Hepatitis B,447
Countries,USA,United States,2024,TUBERCULOSIS,Tuberculosis,1017
Countries,USA,United States,2024,ROTA_DIARRHEA,Rotavirus Diarrhea,2260
Countries,USA,United States,2024,INFLUENZA,Seasonal Influenza,1908
Countries,BRA,Brazil,2010,MEASLES,Measles,3056
Countries,BRA,Brazil,2010,PERTUSSIS,Pertussis (Whooping Cough),2475
Countries,BRA,Brazil,2010,DIPHTHERIA,Diphtheria,10
Countries,BRA,Brazil,2010,TETANUS,Neonatal Tetanus,10
Countries,BRA,Brazil,2010,POLIO,Poliomyelitis,395
Countries,BRA,Brazil,2010,HEPB,Hepatitis B,1730
Countries,BRA,Brazil,2010,TUBERCULOSIS,Tuberculosis,5450
Countries,BRA,Brazil,2010,ROTA_DIARRHEA,Rotavirus Diarrhea,7160
Countries,BRA,Brazil,2010,INFLUENZA,Seasonal Influenza,10542
Countries,BRA,Brazil,2011,MEASLES,Measles,1462
Countries,BRA,Brazil,2011,PERTUSSIS,Pertussis (Whooping Cough),3441
Countries,BRA,Brazil,2011,DIPHTHERIA,Diphtheria,335
Countries,BRA,Brazil,2011,TETANUS,Neonatal Tetanus,1159
Countries,BRA,Brazil,2011,POLIO,Poliomyelitis,76
Countries,BRA,Brazil,2011,HEPB,Hepatitis B,2137
Countries,BRA,Brazil,2011,TUBERCULOSIS,Tuberculosis,5018
Countries,BRA,Brazil,2011,ROTA_DIARRHEA,Rotavirus Diarrhea,10189
Countries,BRA,Brazil,2011,INFLUENZA,Seasonal Influenza,9816
Countries,BRA,Brazil,2012,MEASLES,Measles,2987
Countries,BRA,Brazil,2012,PERTUSSIS,Pertussis (Whooping Cough),2694
Countries,BRA,Brazil,2012,DIPHTHERIA,Diphtheria,799
Countries,BRA,Brazil,2012,TETANUS,Neonatal Tetanus,164
Countries,BRA,Brazil,2012,POLIO,Poliomyelitis,1001
Countries,BRA,Brazil,2012,HEPB,Hepatitis B,2434
Countries,BRA,Brazil,2012,TUBERCULOSIS,Tuberculosis,3895
Countries,BRA,Brazil,2012,ROTA_DIARRHEA,Rotavirus Diarrhea,6964
Countries,BRA,Brazil,2012,INFLUENZA,Seasonal Influenza,8159
Countries,BRA,Brazil,2013,MEASLES,Measles,1693
Countries,BRA,Brazil,2013,PERTUSSIS,Pertussis (Whooping Cough),2220
Countries,BRA,Brazil,2013,DIPHTHERIA,Diphtheria,960
Countries,BRA,Brazil,2013,TETANUS,Neonatal Tetanus,342
Countries,BRA,Brazil,2013,POLIO,Poliomyelitis,1061
Countries,BRA,Brazil,2013,HEPB,Hepatitis B,1892
Countries,BRA,Brazil,2013,TUBERCULOSIS,Tuberculosis,5691
Countries,BRA,Brazil,2013,ROTA_DIARRHEA,Rotavirus Diarrhea,6790
Countries,BRA,Brazil,2013,INFLUENZA,Seasonal Influenza,8440
Countries,BRA,Brazil,2014,MEASLES,Measles,3330
Countries,BRA,Brazil,2014,PERTUSSIS,Pertussis (Whooping Cough),1302
Countries,BRA,Brazil,2014,DIPHTHERIA,Diphtheria,8
Countries,BRA,Brazil,2014,TETANUS,Neonatal Tetanus,467
Countries,BRA,Brazil,2014,POLIO,Poliomyelitis,519
Countries,BRA,Brazil,2014,HEPB,Hepatitis B,1397
Countries,BRA,Brazil,2014,TUBERCULOSIS,Tuberculosis,2801
Countries,BRA,Brazil,2014,ROTA_DIARRHEA,Rotavirus Diarrhea,7180
Countries,BRA,Brazil,2014,INFLUENZA,Seasonal Influenza,6226
Countries,BRA,Brazil,2015,MEASLES,Measles,2090
Countries,BRA,Brazil,2015,PERTUSSIS,Pertussis (Whooping Cough),1720
Countries,BRA,Brazil,2015,DIPHTHERIA,Diphtheria,8
Countries,BRA,Brazil,2015,TETANUS,Neonatal Tetanus,448
Countries,BRA,Brazil,2015,POLIO,Poliomyelitis,8
Countries,BRA,Brazil,2015,HEPB,Hepatitis B,1134
Countries,BRA,Brazil,2015,TUBERCULOSIS,Tuberculosis,4768
Countries,BRA,Brazil,2015,ROTA_DIARRHEA,Rotavirus Diarrhea,5872
Countries,BRA,Brazil,2015,INFLUENZA,Seasonal Influenza,6109
Countries,BRA,Brazil,2016,MEASLES,Measles,2006
Countries,BRA,Brazil,2016,PERTUSSIS,Pertussis (Whooping Cough),2009
Countries,BRA,Brazil,2016,DIPHTHERIA,Diphtheria,430
Countries,BRA,Brazil,2016,TETANUS,Neonatal Tetanus,396
Countries,BRA,Brazil,2016,POLIO,Poliomyelitis,464
Countries,BRA,Brazil,2016,HEPB,Hepatitis B,1573
Countries,BRA,Brazil,2016,TUBERCULOSIS,Tuberculosis,4040
Countries,BRA,Brazil,2016,ROTA_DIARRHEA,Rotavirus Diarrhea,6360
Countries,BRA,Brazil,2016,INFLUENZA,Seasonal Influenza,9809
Countries,BRA,Brazil,2017,MEASLES,Measles,1941
Countries,BRA,Brazil,2017,PERTUSSIS,Pertussis (Whooping Cough),1068
Countries,BRA,Brazil,2017,DIPHTHERIA,Diphtheria,10
Countries,BRA,Brazil,2017,TETANUS,Neonatal Tetanus,10
Countries,BRA,Brazil,2017,POLIO,Poliomyelitis,1109
Countries,BRA,Brazil,2017,HEPB,Hepatitis B,1417
Countries,BRA,Brazil,2017,TUBERCULOSIS,Tuberculosis,2935
Countries,BRA,Brazil,2017,ROTA_DIARRHEA,Rotavirus Diarrhea,5798
Countries,BRA,Brazil,2017,INFLUENZA,Seasonal Influenza,10021
Countries,BRA,Brazil,2018,MEASLES,Measles,2424
Countries,BRA,Brazil,2018,PERTUSSIS,Pertussis (Whooping Cough),1451
Countries,BRA,Brazil,2018,DIPHTHERIA,Diphtheria,10
Countries,BRA,Brazil,2018,TETANUS,Neonatal Tetanus,11
Countries,BRA,Brazil,2018,POLIO,Poliomyelitis,1232
Countries,BRA,Brazil,2018,HEPB,Hepatitis B,2661
Countries,BRA,Brazil,2018,TUBERCULOSIS,Tuberculosis,3355
Countries,BRA,Brazil,2018,ROTA_DIARRHEA,Rotavirus Diarrhea,4355
Countries,BRA,Brazil,2018,INFLUENZA,Seasonal Influenza,8946
Countries,BRA,Brazil,2019,MEASLES,Measles,1032
Countries,BRA,Brazil,2019,PERTUSSIS,Pertussis (Whooping Cough),933
Countries,BRA,Brazil,2019,DIPHTHERIA,Diphtheria,240
Countries,BRA,Brazil,2019,TETANUS,Neonatal Tetanus,9
Countries,BRA,Brazil,2019,POLIO,Poliomyelitis,513
Countries,BRA,Brazil,2019,HEPB,Hepatitis B,2676
Countries,BRA,Brazil,2019,TUBERCULOSIS,Tuberculosis,3059
Countries,BRA,Brazil,2019,ROTA_DIARRHEA,Rotavirus Diarrhea,6232
Countries,BRA,Brazil,2019,INFLUENZA,Seasonal Influenza,8772
Countries,BRA,Brazil,2020,MEASLES,Measles,2248
Countries,BRA,Brazil,2020,PERTUSSIS,Pertussis (Whooping Cough),1524
Countries,BRA,Brazil,2020,DIPHTHERIA,Diphtheria,1975
Countries,BRA,Brazil,2020,TETANUS,Neonatal Tetanus,835
Countries,BRA,Brazil,2020,POLIO,Poliomyelitis,11
Countries,BRA,Brazil,2020,HEPB,Hepatitis B,1091
Countries,BRA,Brazil,2020,TUBERCULOSIS,Tuberculosis,2579
Countries,BRA,Brazil,2020,ROTA_DIARRHEA,Rotavirus Diarrhea,7291
Countries,BRA,Brazil,2020,INFLUENZA,Seasonal Influenza,8826
Countries,BRA,Brazil,2021,MEASLES,Measles,2293
Countries,BRA,Brazil,2021,PERTUSSIS,Pertussis (Whooping Cough),1578
Countries,BRA,Brazil,2021,DIPHTHERIA,Diphtheria,8
Countries,BRA,Brazil,2021,TETANUS,Neonatal Tetanus,1167
Countries,BRA,Brazil,2021,POLIO,Poliomyelitis,166
Countries,BRA,Brazil,2021,HEPB,Hepatitis B,1232
Countries,BRA,Brazil,2021,TUBERCULOSIS,Tuberculosis,3948
Countries,BRA,Brazil,2021,ROTA_DIARRHEA,Rotavirus Diarrhea,4682
Countries,BRA,Brazil,2021,INFLUENZA,Seasonal Influenza,10546
Countries,BRA,Brazil,2022,MEASLES,Measles,975
Countries,BRA,Brazil,2022,PERTUSSIS,Pertussis (Whooping Cough),2384
Countries,BRA,Brazil,2022,DIPHTHERIA,Diphtheria,8
Countries,BRA,Brazil,2022,TETANUS,Neonatal Tetanus,8
Countries,BRA,Brazil,2022,POLIO,Poliomyelitis,627
Countries,BRA,Brazil,2022,HEPB,Hepatitis B,921
Countries,BRA,Brazil,2022,TUBERCULOSIS,Tuberculosis,4552
Countries,BRA,Brazil,2022,ROTA_DIARRHEA,Rotavirus Diarrhea,5112
Countries,BRA,Brazil,2022,INFLUENZA,Seasonal Influenza,7024
Countries,BRA,Brazil,2023,MEASLES,Measles,2634
Countries,BRA,Brazil,2023,PERTUSSIS,Pertussis (Whooping Cough),1056
Countries,BRA,Brazil,2023,DIPHTHERIA,Diphtheria,220
Countries,BRA,Brazil,2023,TETANUS,Neonatal Tetanus,9
Countries,BRA,Brazil,2023,POLIO,Poliomyelitis,121
Countries,BRA,Brazil,2023,HEPB,Hepatitis B,1237
Countries,BRA,Brazil,2023,TUBERCULOSIS,Tuberculosis,3373
Countries,BRA,Brazil,2023,ROTA_DIARRHEA,Rotavirus Diarrhea,4882
Countries,BRA,Brazil,2023,INFLUENZA,Seasonal Influenza,6011
Countries,BRA,Brazil,2024,MEASLES,Measles,1745
Countries,BRA,Brazil,2024,PERTUSSIS,Pertussis (Whooping Cough),1647
Countries,BRA,Brazil,2024,DIPHTHERIA,Diphtheria,375
Countries,BRA,Brazil,2024,TETANUS,Neonatal Tetanus,10
Countries,BRA,Brazil,2024,POLIO,Poliomyelitis,584
Countries,BRA,Brazil,2024,HEPB,Hepatitis B,1069
Countries,BRA,Brazil,2024,TUBERCULOSIS,Tuberculosis,2659
Countries,BRA,Brazil,2024,ROTA_DIARRHEA,Rotavirus Diarrhea,5603
Countries,BRA,Brazil,2024,INFLUENZA,Seasonal Influenza,6301
Countries,NGA,Nigeria,2010,MEASLES,Measles,7738
Countries,NGA,Nigeria,2010,PERTUSSIS,Pertussis (Whooping Cough),7153
Countries,NGA,Nigeria,2010,DIPHTHERIA,Diphtheria,1266
Countries,NGA,Nigeria,2010,TETANUS,Neonatal Tetanus,8
Countries,NGA,Nigeria,2010,POLIO,Poliomyelitis,1375
Countries,NGA,Nigeria,2010,HEPB,Hepatitis B,5859
Countries,NGA,Nigeria,2010,TUBERCULOSIS,Tuberculosis,10349
